"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2003","2003","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2004","2004","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2005","2005","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2006","2006","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2007","2007","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2008","2008","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2009","2009","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2010","2010","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2011","2011","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2012","2012","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2013","2013","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2014","2014","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2015","2015","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2016","2016","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2017","2017","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2018","2018","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2019","2019","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2020","2020","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2021","2021","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR","Euro","2008","2008","EUR","Euro","0","Units",,,52310781.7815,,
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR","Euro","2009","2009","EUR","Euro","0","Units",,,76779391.142417,,
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR","Euro","2010","2010","EUR","Euro","0","Units",,,47752059.43816,,
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR","Euro","2011","2011","EUR","Euro","0","Units",,,272538173.57934,,
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR","Euro","2012","2012","EUR","Euro","0","Units",,,33524651.715387,,
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR","Euro","2013","2013","EUR","Euro","0","Units",,,18946579.65713,,
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR","Euro","2014","2014","EUR","Euro","0","Units",,,36011043.715098,,
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,18317040.142517,,
